rgi_id,glac_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
RGI2000-v7.0-G-11-00380,FR4N01152A05 Mahure,0,11,11-01,G006748E45302N,752758,731,2003-08-13T00:00:00,6.743847534679638,45.3009895,32,2.722652156593091,0,0,9,0,6.754970174931141,45.30419823579798,2717.975,3532.2148,3170.5,3145.8818,25.010551,87.14036,3,COPDEM30,2538
RGI2000-v7.0-G-11-00381,FR4N01xxxxxx Rosoire,0,11,11-01,G006725E45299N,752754,731,2003-08-13T00:00:00,6.728774544562697,45.2983525,32,0.554169674639264,0,0,9,0,6.7146868611215655,45.29473973267922,2926.3032,3452.6167,3218.3896,3225.0217,23.562298,289.1759262084961,7,COPDEM30,1106
RGI2000-v7.0-G-11-00382,FR4N01151C03 de Labby 1,0,11,11-01,G006733E45291N,752756,731,2003-08-13T00:00:00,6.735572877247259,45.2910895,32,0.186483025216095,0,0,9,0,6.728572773118876,45.29164187152402,2997.349,3297.2915,3155.678,3156.516,23.586475,254.6887435913086,7,COPDEM30,764
RGI2000-v7.0-G-11-00383,FR4N01146C38+146C39 Genepy,0,11,11-01,G006727E45309N,752753,731,2003-08-13T00:00:00,6.721250849884365,45.310648,32,1.874871688916135,0,0,9,0,6.7199770154967995,45.31271272186032,2677.681,3553.004,3176.5154,3155.8962,28.24214,304.0863647460937,8,COPDEM30,2551
RGI2000-v7.0-G-11-00384,FR4N01152A07 Arpont,0,11,11-01,G006756E45318N,752760,731,2003-08-13T00:00:00,6.749607205855858,45.32048,32,3.867054769107127,0,0,9,0,6.773171226312165,45.317155510500456,2679.3865,3572.0225,3277.6328,3232.9102,19.56307,128.88895,4,COPDEM30,2750
RGI2000-v7.0-G-11-00385,FR4N01146C30+C32+C33 des Sonnailles/des Nants,0,11,11-01,G006747E45337N,752757,731,2003-08-13T00:00:00,6.74331861861203,45.3364105,32,1.36266937381039,0,0,9,0,6.739576697113071,45.342466883307615,3106.5813,3548.492,3418.5144,3408.9895,14.034692,308.10961532592773,8,COPDEM30,1837
RGI2000-v7.0-G-11-00386,FR4N01152A09 Pelve,0,11,11-01,G006763E45344N,752768,731,2003-08-13T00:00:00,6.75853185479779,45.342721999999995,32,3.479324563599793,0,0,9,0,6.776062905995895,45.34646358197175,2648.5896,3527.5347,3187.2168,3151.679,17.235043,51.719616,2,COPDEM30,2543
RGI2000-v7.0-G-11-00387,"",0,11,11-01,G006765E45335N,752775,731,2003-08-13T00:00:00,6.765040111963797,45.334932499999994,32,0.580732332623282,0,0,9,0,6.773413390312771,45.33892257149298,2814.078,3565.8389,3304.0132,3282.2676,25.200699,53.5404,2,COPDEM30,1512
RGI2000-v7.0-G-11-00388,"",0,11,11-01,G006772E45330N,752780,731,2003-08-13T00:00:00,6.771613668831169,45.3297595,32,0.372202175582312,0,0,9,0,6.7751043860798905,45.33316223227332,2941.1736,3519.2292,3138.57,3165.7988,28.286785,101.55025,3,COPDEM30,1247
RGI2000-v7.0-G-11-00389,FR4N01146C24 du Grand Marchet,0,11,11-01,G006765E45361N,752779,731,2003-08-13T00:00:00,6.770120304378137,45.3584145,32,1.935783167201427,0,0,9,0,6.743132074805336,45.35821082755326,2776.9065,3231.1658,2969.4753,3006.968,13.854631,339.11915397644043,1,COPDEM30,3085
RGI2000-v7.0-G-11-00390,FR4N01xxxxxx du Lac de la Roche,0,11,11-01,G006785E45359N,752789,731,2003-08-13T00:00:00,6.784660590018657,45.358312999999995,32,0.046966081522857,0,0,9,0,6.785533682724971,45.35641166779024,2900.2625,3058.4849,2939.0923,2949.1265,36.197422,104.16522,3,COPDEM30,231
RGI2000-v7.0-G-11-00391,FR4N01146C21 de l'Arcelin,0,11,11-01,G006780E45369N,752788,731,2003-08-13T00:00:00,6.783588720349814,45.368945499999995,32,3.284687621632074,0,0,9,0,6.775275766774154,45.380562743396695,2652.263,3210.3347,3040.9463,3015.8516,10.957284,347.9778127670288,1,COPDEM30,2829
RGI2000-v7.0-G-11-00392,"",0,11,11-01,G006787E45365N,752806,731,2003-08-13T00:00:00,6.797353132048872,45.3666235,32,0.031792172931656,0,0,9,0,6.798391160982383,45.36642088081869,3028.2173,3089.2166,3062.7632,3062.7788,17.505226,124.73997,4,COPDEM30,333
RGI2000-v7.0-G-11-00393,FR4N01146C21 de la Roche Ferran,0,11,11-01,G006788E45366N,752809,731,2003-08-13T00:00:00,6.797769873626373,45.369095,32,0.033570736478801,0,0,9,0,6.7997405871887535,45.36957166501541,2985.1975,3053.5217,3026.806,3023.882,20.039385,98.200584,3,COPDEM30,290
RGI2000-v7.0-G-11-00394,FR4N01146C21 de la Rechasse,0,11,11-01,G006799E45376N,752803,731,2003-08-13T00:00:00,6.796190735439201,45.376096000000004,32,0.358710436570466,0,0,9,0,6.799269733589201,45.37841047183973,2816.9949,3110.417,2966.3245,2962.8486,21.475576,3.1712148,1,COPDEM30,655
RGI2000-v7.0-G-11-00395,FR4N01146C20 des Grands Couloirs,0,11,11-01,G006811E45402N,752825,731,2003-08-13T00:00:00,6.808563881828978,45.401537,32,0.823041148028268,0,0,9,0,6.8020571415747915,45.399430996434404,2739.2073,3825.8328,3392.4482,3368.5286,31.611841,258.40647888183594,7,COPDEM30,2109
RGI2000-v7.0-G-11-00396,FR4N01146C16 de la Grande Casse,0,11,11-01,G006803E45409N,752817,731,2003-08-13T00:00:00,6.805382771832132,45.408626,32,0.731199518709551,0,0,9,0,6.795961565141899,45.40371619309729,2679.1768,3077.726,2846.0962,2840.4048,18.600065,266.53926849365234,7,COPDEM30,1724
RGI2000-v7.0-G-11-00397,FR4N01146B14 Nord de la Gliere 1,0,11,11-01,G006797E45418N,752807,731,2003-08-13T00:00:00,6.797034073387803,45.417114,32,0.239054567705948,0,0,9,0,6.798037737499544,45.42099158432936,2482.3093,2932.4802,2660.02,2663.4849,29.347572,348.39316177368164,1,COPDEM30,910
RGI2000-v7.0-G-11-00398,FR4N01146B16 Nord de la Gliere 2,0,11,11-01,G006788E45418N,752793,731,2003-08-13T00:00:00,6.788829011817091,45.4178365,32,0.176463861625851,0,0,9,0,6.791477131721083,45.41998515622566,2593.1707,2902.6257,2719.215,2719.7537,27.34731,8.323932,1,COPDEM30,594
RGI2000-v7.0-G-11-00399,FR4N01146B17 de la Roche du Tougne,0,11,11-01,G006782E45419N,752787,731,2003-08-13T00:00:00,6.78260773422819,45.417714000000004,32,0.175539678809338,0,0,9,0,6.782311518176307,45.421556403063,2714.7935,3102.4429,2908.388,2909.3499,29.913511,33.426563,2,COPDEM30,808
RGI2000-v7.0-G-11-00400,FR4N01146C13 Sud de la Gliere,0,11,11-01,G006790E45411N,752794,731,2003-08-13T00:00:00,6.78969620646766,45.410706000000005,32,0.152544864475605,0,0,9,0,6.786619233315784,45.41114685936396,2864.2634,3139.7644,2985.3604,2994.4268,26.365992,260.2057876586914,7,COPDEM30,674
RGI2000-v7.0-G-11-00401,FR4N01146B12 de l'Epena 2,0,11,11-01,G006809E45420N,752823,731,2003-08-13T00:00:00,6.80836730715192,45.419616500000004,32,0.148157969445546,0,0,9,0,6.806258975661454,45.42191297771236,2375.9893,2909.6443,2508.765,2535.9104,38.1922,1.056173,1,COPDEM30,768
