rgi_id,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs
RGI2000-v7.0-G-11-02061,0.806195080280304,0.5543903112411499,0.0,0.30336369574069977,0.8109919726848602,1.2264963388442993,2.570777654647827,3.3412206172943115,2.814542770385742,0.0,1.9029734134674072,2.982980489730835,4.29741096496582,33.522159576416016,2.4826972484588623,126,6.256206554121152,23.248050689697266,7.777766704559326,34.764644622802734,17.55389404296875,20.487823486328125,-11.516594886779785,24.824000847293053,16.942737579345703,44.44542694091797,8.11111068725586,18.589285850524902,29.0,51.1875,65.0
RGI2000-v7.0-G-11-00753,7.013315200805664,5.406024932861328,0.0,2.636876404285431,6.427304983139038,9.837512254714966,29.802743911743164,12.610528945922852,16.23239517211914,0.0,3.108956813812256,5.7524566650390625,15.36327075958252,104.23316192626953,9.397984504699707,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-01826,1.9881949424743652,1.6221938133239746,0.0,0.4738886207342148,1.650463581085205,3.2750295400619507,7.070748805999756,3.063913583755493,2.04030704498291,0.0,1.7222743928432465,2.7104002237319946,4.09762179851532,16.479562759399414,2.1314969062805176,85,5.13595166163142,23.616060256958008,7.732763767242432,46.011932373046875,12.687810897827148,22.62449073791504,-22.39586639404297,24.66359849698159,25.009164810180664,37.61045532226562,17.899999618530273,40.818180084228516,46.79999923706055,54.58333206176758,70.7272720336914
RGI2000-v7.0-G-11-00886,0.2586387097835541,0.3395605981349945,0.0,0.05912354402244091,0.15458550304174423,0.317296639084816,2.641230583190918,3.779590368270874,2.81349778175354,0.0,1.9289852380752563,3.1911990642547607,4.758710861206055,16.830453872680664,3.5183420181274414,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03358,1.2903680801391602,1.1371722221374512,0.0,0.38881150633096695,0.962765097618103,2.019322693347931,5.5647292137146,3.3070058822631836,2.9316813945770264,0.0,1.396134614944458,2.524259328842163,4.08082640171051,21.583192825317383,2.40621280670166,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-02164,10.159157752990723,6.281887531280518,0.0,5.384154915809631,9.91975736618042,14.576364755630493,26.259286880493164,11.297598838806152,11.229681015014648,0.0,2.300547957420349,5.378754138946533,21.816606521606445,40.96780776977539,9.382608413696289,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00757,29.29233741760254,39.10356521606445,0.0,3.194798469543457,14.791439533233643,37.50815963745117,245.74282836914062,39.922691345214844,58.20872497558594,0.0,5.497821927070618,19.092747688293457,51.859331130981445,579.8128662109375,20.0480899810791,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03128,2.0262818336486816,1.4797120094299316,0.0,0.693130373954773,2.034543037414551,3.1716771125793457,5.641172409057617,2.3903799057006836,1.5735920667648315,0.0,1.2322063446044922,1.9706668853759766,3.4972407817840576,8.115009307861328,1.3690351247787476,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-02789,2.148059844970703,1.6635404825210571,0.0,0.8655354082584381,1.7847214341163635,2.9933683276176453,12.452570915222168,4.4477105140686035,2.9793312549591064,0.0,2.325845777988434,3.751689076423645,5.846793174743652,18.521459579467773,2.675037384033203,173,7.515204170286707,44.107566833496094,27.560792922973633,56.21088790893555,28.55438995361328,19.63619613647461,-12.103318214416504,26.131156524512914,13.409378051757812,57.516516113281256,6.199999809265137,32.400001525878906,56.0,78.66666412353516,121.875
RGI2000-v7.0-G-11-01289,5.2590861320495605,5.085376739501953,0.0,1.5396623611450195,4.226590633392334,7.597962379455566,65.260009765625,14.34522819519043,16.79775047302246,0.0,3.971425175666809,7.694420337677002,17.282294273376465,141.5410919189453,11.539319038391113,1921,15.568522570710755,197.91065979003906,80.83336639404297,100.21540069580078,51.05146026611328,102.37699890136719,97.69506072998047,117.89517159059145,98.65808868408203,206.4522705078125,4.833333492279053,63.0,93.0,138.25,218.36363220214844
